epoch;iteration;l1;generator_loss;discriminator_loss;l1_test
1;3;0.4846029281616211;0.13092315196990967;1.3944573402404785;0.31090980768203735
1;3;0.2871343493461609;0.1247577890753746;1.3893640041351318;0.3173350661993027
1;3;0.3145909905433655;0.12163281440734863;1.433840036392212;0.38672722578048707
1;3;0.43158286809921265;0.12867037951946259;1.4342883825302124;0.4052888542413712
1;3;0.41510987281799316;0.13460944592952728;1.3969924449920654;0.40569921135902404
1;3;0.42306941747665405;0.14353260397911072;1.3560408353805542;0.40027719736099243
1;3;0.4440598487854004;0.15241561830043793;1.3213112354278564;0.38670588433742525
1;3;0.44888705015182495;0.16485899686813354;1.2998420000076294;0.3583329230546951
1;3;0.39600419998168945;0.17079752683639526;1.2935724258422852;0.3265684828162193
1;3;0.352539598941803;0.18414875864982605;1.31812584400177;0.2947306215763092
1;3;0.329287588596344;0.19021794199943542;1.3346937894821167;0.27058361619710924
1;3;0.30331361293792725;0.17965631186962128;1.3238980770111084;0.25061444044113157
1;3;0.2987690269947052;0.17365644872188568;1.3212370872497559;0.24030576795339584
1;3;0.2896643877029419;0.1712978631258011;1.3205645084381104;0.2327536329627037
1;3;0.24404118955135345;0.16512705385684967;1.3313909769058228;0.22720266729593278
1;3;0.24241213500499725;0.1574656218290329;1.3258965015411377;0.2251877784729004
1;3;0.2496064305305481;0.14857272803783417;1.3274706602096558;0.22122714370489122
1;3;0.23867377638816833;0.1431410312652588;1.3393588066101074;0.21364659667015076
1;3;0.23397135734558105;0.13779829442501068;1.3395169973373413;0.20616482049226761
1;3;0.23450806736946106;0.13740868866443634;1.364723801612854;0.19681264981627464
